timestamp,obj_type,meas_x,meas_y,pred_x,pred_y
19:01:57.909705,hand_left,356,415,351,419
19:01:57.909705,hand_right,1080,397,1077,399
19:01:58.029844,hand_left,357,415,350,413
19:01:58.029844,hand_right,1080,399,1077,396
19:01:58.149836,hand_left,358,418,349,408
19:01:58.149836,hand_right,1080,399,1078,393
19:01:58.269756,hand_left,359,419,350,406
19:01:58.269756,hand_right,1078,401,1078,392
19:01:58.385933,hand_left,360,419,351,406
19:01:58.385933,hand_right,1077,401,1078,392
19:01:58.505843,hand_left,362,418,352,406
19:01:58.505843,hand_right,1074,401,1078,392
19:01:58.625640,hand_left,366,417,354,406
19:01:58.625640,hand_right,1076,403,1076,393
19:01:58.746815,hand_left,367,419,357,406
19:01:58.746815,hand_right,1075,405,1076,394
19:01:58.865624,hand_left,367,420,360,408
19:01:58.865624,hand_right,1075,404,1075,396
19:01:58.985912,hand_left,370,421,362,409
19:01:58.985912,hand_right,1073,400,1075,398
19:01:59.105947,hand_left,371,421,365,411
19:01:59.105947,hand_right,1072,399,1074,398
19:01:59.222223,hand_left,370,418,368,413
19:01:59.222223,hand_right,1068,396,1072,398
19:01:59.341930,hand_left,372,416,369,414
19:01:59.341930,hand_right,1067,394,1070,397
19:01:59.462148,hand_left,375,416,371,414
19:01:59.462148,hand_right,1063,391,1068,395
19:01:59.581810,hand_left,376,418,373,414
19:01:59.581810,hand_right,1065,392,1066,393
19:01:59.702421,hand_left,377,418,375,415
19:01:59.702421,hand_right,1065,391,1064,392
19:01:59.821721,hand_left,378,419,377,415
19:01:59.821721,hand_right,1065,392,1063,390
19:01:59.937828,hand_left,376,421,379,416
19:01:59.937828,hand_right,1065,395,1062,390
19:02:00.057821,hand_left,377,423,379,418
19:02:00.057821,hand_right,1066,400,1062,390
19:02:00.177867,hand_left,378,427,380,419
19:02:00.177867,hand_right,1067,398,1062,393
19:02:00.297760,hand_left,381,427,380,422
19:02:00.297760,hand_right,1069,397,1063,394
19:02:00.417842,hand_left,382,426,382,424
19:02:00.417842,hand_right,1070,398,1064,395
19:02:00.537781,hand_left,384,426,383,426
19:02:00.537781,hand_right,1071,399,1065,396
19:02:00.658006,hand_left,385,425,384,427
19:02:00.658006,hand_right,1071,399,1067,397
19:02:00.773891,hand_left,386,420,385,427
19:02:00.773891,hand_right,1073,397,1068,397
19:02:00.893993,hand_left,388,409,387,425
19:02:00.893993,hand_right,1072,391,1070,398
19:02:01.013834,hand_left,387,402,388,421
19:02:01.013834,hand_right,1076,391,1071,396
19:02:01.133560,hand_left,384,405,389,414
19:02:01.133560,hand_right,1088,389,1073,394
19:02:01.254251,hand_left,382,408,388,410
19:02:01.254251,hand_right,1084,394,1078,392
19:02:01.374074,hand_left,378,402,387,408
19:02:01.374074,hand_right,1089,395,1081,392
19:02:01.493934,hand_left,373,402,385,404
19:02:01.493934,hand_right,1093,400,1085,392
19:02:01.609965,hand_left,369,402,381,402
19:02:01.609965,hand_right,1098,407,1089,394
19:02:01.730061,hand_left,370,402,377,400
19:02:01.730061,hand_right,1099,408,1094,398
19:02:01.850256,hand_left,374,402,374,398
19:02:01.850256,hand_right,1107,407,1098,402
19:02:01.970356,hand_left,375,407,373,398
19:02:01.970356,hand_right,1113,410,1103,404
19:02:02.090123,hand_left,376,407,372,399
19:02:02.090123,hand_right,1109,417,1109,407
19:02:02.209696,hand_left,374,410,372,400
19:02:02.209696,hand_right,1117,426,1113,411
19:02:02.325667,hand_left,379,412,372,402
19:02:02.325667,hand_right,1114,426,1117,418
19:02:02.445870,hand_left,377,413,373,404
19:02:02.445870,hand_right,1100,426,1120,422
19:02:02.565863,hand_left,378,410,374,407
19:02:02.565863,hand_right,1109,428,1117,426
19:02:02.685907,hand_left,378,407,374,408
19:02:02.685907,hand_right,1116,428,1117,429
19:02:02.805493,hand_left,379,405,375,408
19:02:02.805493,hand_right,1116,427,1119,432
19:02:02.925645,hand_left,376,403,376,407
19:02:02.925645,hand_right,1106,421,1120,433
19:02:03.041956,hand_left,356,410,376,406
19:02:03.041956,hand_right,1100,405,1117,432
19:02:03.162049,hand_left,359,408,370,407
19:02:03.162049,hand_right,1098,394,1113,425
19:02:03.282084,hand_left,351,422,365,407
19:02:03.282084,hand_right,1100,413,1109,416
19:02:03.402113,hand_left,345,444,359,412
19:02:03.402113,hand_right,1100,437,1106,414
19:02:03.521543,hand_left,326,477,353,423
19:02:03.521543,hand_right,1101,463,1104,421
19:02:03.641828,hand_left,306,505,341,442
19:02:03.641828,hand_right,1100,484,1102,434
19:02:03.761895,hand_left,306,526,326,466
19:02:03.761895,hand_right,1107,494,1100,452
19:02:03.877738,hand_left,311,536,314,492
19:02:03.877738,hand_right,1108,503,1101,469
19:02:03.998649,hand_left,315,537,307,515
19:02:03.998649,hand_right,1112,508,1103,486
19:02:04.117953,hand_left,315,539,303,533
19:02:04.117953,hand_right,1114,513,1105,500
19:02:04.237880,hand_left,314,547,301,547
19:02:04.237880,hand_right,1116,519,1108,512
19:02:04.358266,hand_left,316,551,299,560
19:02:04.358266,hand_right,1114,524,1111,523
19:02:04.478519,hand_left,319,554,299,569
19:02:04.478519,hand_right,1113,525,1112,532
19:02:04.593858,hand_left,321,556,301,576
19:02:04.593858,hand_right,1113,524,1113,539
19:02:04.713392,hand_left,324,558,304,581
19:02:04.713392,hand_right,1111,521,1114,543
19:02:04.833710,hand_left,325,559,307,584
19:02:04.833710,hand_right,1109,521,1114,544
19:02:04.953639,hand_left,323,556,311,586
19:02:04.953639,hand_right,1106,517,1113,544
19:02:05.073838,hand_left,319,542,314,585
19:02:05.073838,hand_right,1100,509,1111,541
19:02:05.193819,hand_left,319,527,315,578
19:02:05.193819,hand_right,1096,504,1107,536
19:02:05.313446,hand_left,321,519,315,567
19:02:05.313446,hand_right,1088,497,1103,529
19:02:05.429959,hand_left,325,513,317,555
19:02:05.429959,hand_right,1087,487,1097,521
19:02:05.549970,hand_left,327,507,319,542
19:02:05.549970,hand_right,1085,483,1092,511
19:02:05.669919,hand_left,330,500,322,530
19:02:05.669919,hand_right,1084,478,1088,501
19:02:05.790221,hand_left,345,481,325,518
19:02:05.790221,hand_right,1075,473,1084,492
19:02:05.909928,hand_left,352,467,332,503
19:02:05.909928,hand_right,1065,466,1079,483
19:02:06.030765,hand_left,361,460,340,486
19:02:06.030765,hand_right,1055,463,1071,474
19:02:06.145867,hand_left,372,452,349,471
19:02:06.145867,hand_right,1058,459,1062,466
19:02:06.265876,hand_left,394,446,360,457
19:02:06.265876,hand_right,1075,461,1057,459
19:02:06.385855,hand_left,414,436,375,445
19:02:06.385855,hand_right,1097,467,1058,454
19:02:06.505951,hand_left,414,424,393,433
19:02:06.505951,hand_right,1109,479,1066,453
19:02:06.626030,hand_left,402,437,407,420
19:02:06.626030,hand_right,1108,495,1078,456
19:02:06.745935,hand_left,386,459,414,415
19:02:06.745935,hand_right,1097,508,1087,465
19:02:06.865826,hand_left,370,467,413,420
19:02:06.865826,hand_right,1084,495,1091,477
19:02:06.981901,hand_left,353,474,406,427
19:02:06.981901,hand_right,1058,488,1090,482
19:02:07.101853,hand_left,336,490,394,436
19:02:07.101853,hand_right,1016,491,1081,485
19:02:07.221916,hand_left,321,509,378,450
19:02:07.221916,hand_right,987,491,1060,487
19:02:07.342058,hand_left,308,513,360,467
19:02:07.342058,hand_right,968,494,1034,490
19:02:07.461992,hand_left,295,510,341,483
19:02:07.461992,hand_right,962,488,1006,492
19:02:07.581802,hand_left,292,509,322,495
19:02:07.581802,hand_right,952,492,983,492
19:02:07.698048,hand_left,300,511,306,503
